Index, Name
279,   Shakuhachi 2
280,   Ocarina
281,   Bottle
282,   FantBell A
283,   FantBell B
284,   IceRain
285,   Syn Malet
286,   Sitar
287,   Shamisen
288,   Koto
289,   Koto Attack
290,   Taisho koto
291,   Kalimba Atk
292,   Bag Pipe
293,   Shannai
294,   TnkBell
295,   Steel Drum
296,   Kick 1 mfL
297,   Kick 1 mfR
298,   Kick 1 fL
299,   Kick 1 fR
300,   Kick 1 ffL
301,   Kick 1 ffR
302,   Kick 2 pL
303,   Kick 2 pR
304,   Kick 2 mfL
305,   Kick 2 mfR
306,   Kick 2 fL
307,   Kick 2 fR
308,   Rock Kick p
309,   Rock Kick mf
310,   Rock Kick f
311,   Mondo Kick
312,   Jazz Kick p
313,   Jazz Kick mf
314,   Jazz Kick f
315,   Old Kick
316,   Hybrid Kick
317,   Verb Kick
318,   Round Kick
319,   808 Kick
320,   909 Kick 1
321,   909 Kick 2
322,   Techno BD2
323,   70s Kick 1
324,   Dance Kick
325,   Snare 1 mfL
326,   Snare 1 mfR
327,   Snare 1 fL
328,   Snare 1 fR
329,   Snare 1 ffL
330,   Snare 1 ffR
331,   Snare 1RffL
332,   Snare 1RffR
333,   Snare 2 mfL
334,   Snare 2 mfR
335,   Snare 2 fL
336,   Snare 2 fR
337,   Snare 2 ffL
338,   Snare 2 ffR
339,   Snare 2RffL
340,   Snare 2RffR
341,   Rock SN mf L
342,   Rock SN mf R
343,   Rock Rim f L
344,   Rock Rim f R
345,   Rash Snare
346,   BrushSnar p
347,   BrushSnar mp
348,   BrushSnar mf
349,   BrushSnar f
350,   B.Swish 2
351,   B.Swirl
352,   Piccolo SN
353,   Natural SN1
354,   Natural SN2
355,   Ballad SN
356,   909 SN 1
357,   909 SN 2
358,   808 SN 1
359,   Raga RimSN
360,   Dance SN
361,   Old Fill SN
362,   Stick fL
363,   Stick fR
364,   Stick ffL
365,   Stick ffR
366,   LowTom mfL
367,   LowTom mfR
368,   LowTom fL
369,   LowTom fR
370,   LowTom ffL
371,   LowTom ffR
372,   Mid Tom mfL
373,   Mid Tom mfR
374,   Mid Tom fL
375,   Mid Tom fR
376,   Mid Tom ffL
377,   Mid Tom ffR
378,   Hi Tom mfL
379,   Hi Tom mfR
380,   Hi Tom fL
381,   Hi Tom fR
382,   Hi Tom ffL
383,   Hi Tom ffR
384,   RoomLowTom p
385,   RoomLowTom f
386,   Room HiTom p
387,   Room HiTom f
388,   Rock Tom 2H
389,   Rock Tom 4L
390,   BrushLwTom p
391,   BrushLwTom f
392,   BrushMdTom p
393,   BrushMdTom f
394,   BrushHiTom p
395,   BrushHiTom f
396,   Hi Hat mfL
397,   Hi Hat mfR
398,   Hi Hat fL
399,   Hi Hat fR
400,   Hi Hat ffL
401,   Hi Hat ffR
402,   Open Hat mfL
403,   Open Hat mfR
404,   Open Hat fL
405,   Open Hat fR
406,   Open Hat ffL
407,   Open Hat ffR
408,   PedalHat fL
409,   PedalHat fR
410,   PedalHat ffL
411,   PedalHat ffR
412,   BrushHiHat p
413,   BrushHiHatmf
414,   BrushHiHat f
415,   BrushPdHat p
416,   BrushPdHat f
417,   BrushOpHat p
418,   BrushOpHatmf
419,   BrushOpHat f
420,   Crash 1 pL
421,   Crash 1 pR
422,   Crash 1 mfL
423,   Crash 1 mfR
424,   Crash 1 fL
425,   Crash 1 fR
426,   Crash 1 ffL
427,   Crash 1 ffR
428,   Crash 2 mfL
429,   Crash 2 mfR
430,   Crash 2 fL
431,   Crash 2 fR
432,   Crash 2 ffL
433,   Crash 2 ffR
434,   Swish Cymbal
435,   Brush Crash1
436,   Brush Crash2
437,   Ride 1 pL
438,   Ride 1 pR
439,   Ride 1 mfL
440,   Ride 1 mfR
441,   Ride 1 fL
442,   Ride 1 fR
443,   Ride 2 pL
444,   Ride 2 pR
445,   Ride 2 mfL
446,   Ride 2 mfR
447,   Ride 2 fL
448,   Ride 2 fR
449,   RideBell pL
450,   RideBell pR
451,   RideBell mfL
452,   RideBell mfR
453,   RideBell fL
454,   RideBell fR
455,   Hi Q
456,   Slap
457,   S Push
458,   S Pull
459,   Stick
460,   Click
461,   Metro K
462,   Metro Bell
463,   TR-909 HC
464,   Triz
465,   JingleBell
466,   BellTree
467,   TimbalesHi p
468,   TimbalesHi f
469,   TimbalesLo p
470,   TimbalesLo f
471,   BongoHi fL
472,   BongoHi fR
473,   BongoHi mfL
474,   BongoHi mfR
475,   BongoLow fL
476,   BongoLow fR
477,   BongoLow mfL
478,   BongoLow mfR
479,   CongaHi fL
480,   CongaHi fR
481,   CongaHi pL
482,   CongaHi pR
483,   CongaHi SlpL
484,   CongaHi SlpR
485,   CongaLow fL
486,   CongaLow fR
487,   CongaLow mfL
488,   CongaLow mfR
489,   CongaMt fL
490,   CongaMt fR
491,   CongaMt mfL
492,   CongaMt mfR
493,   Mute Cuica
494,   Open Cuica
495,   Cowbell p
496,   Cowbell mf
497,   Cowbell f
498,   Claves p
499,   Claves f
500,   ShortGuiro f
501,   ShortGuiro p
502,   Long Guiro
503,   Agogo Hi
504,   Agogo Lo
505,   Whistle Hi
506,   Whistle Long
507,   Castanet
508,   Tambourine
509,   Wood BlockLo
510,   Maracas
511,   Vibra Slap
512,   Wood BlockHi
513,   Cabasa
514,   Shaker
515,   Mute Surdo
516,   Open Surdo
517,   HQ808 Kick
518,   808 RS
519,   808 Tom
520,   E.Snare
521,   Punch Snare
522,   Syn Drum
523,   808 SN 2
524,   808 Clap
525,   808 Tl
526,   808 Th
527,   808 Ohh
